,0,1,2,3
TSPAN6,99891748,99891748,-,chrX
TNMD,99839933,99839933,+,chrX
DPM1,49575069,49575069,-,chr20
SCYL3,169863037,169863037,-,chr1
C1orf112,169764186,169764186,+,chr1
FGR,27961654,27961654,-,chr1
CFH,196621174,196621174,+,chr1
FUCA2,143832857,143832857,-,chr6
GCLC,53409899,53409899,-,chr6
NFYA,41040714,41040714,+,chr6
STPG1,24740215,24740215,-,chr1
NIPAL3,24742292,24742292,+,chr1
LAS1L,64754667,64754667,-,chrX
ENPP4,46097792,46097792,+,chr6
SEMA3F,50192515,50192515,+,chr3
CFTR,117120079,117120079,+,chr7
ANKIB1,91875338,91875338,+,chr7
CYP51A1,91763788,91763788,-,chr7
KRIT1,91875228,91875228,-,chr7
RAD52,1058808,1058808,-,chr12
BAD,64052126,64052126,-,chr11
LAP3,17579120,17579120,+,chr4
CD99,2609367,2609367,+,chrX
HS3ST1,11430518,11430518,-,chr4
AOC1,150549606,150549606,+,chr7
WNT16,120969054,120969054,+,chr7
HECW1,43152246,43152246,+,chr7
MAD1L1,2272547,2272547,-,chr7
LASP1,37026311,37026311,+,chr17
SNX11,46185139,46185139,+,chr17
TMEM176A,150497886,150497886,+,chr7
M6PR,9102241,9102241,-,chr12
KLHL13,117250757,117250757,-,chrX
CYP26B1,72371217,72371217,-,chr2
ICA1,8301780,8301780,-,chr7
DBNDD1,90085864,90085864,-,chr16
ALS2,202645656,202645656,-,chr2
CASP10,202047864,202047864,+,chr2
CFLAR,201980904,201980904,+,chr2
TFPI,188419162,188419162,-,chr2
NDUFAF7,37458801,37458801,+,chr2
RBM5,50126387,50126387,+,chr3
MTMR7,17270816,17270816,-,chr8
SLC7A2,17354597,17354597,+,chr8
ARF5,127228465,127228465,+,chr7
SARM1,26698715,26698715,+,chr17
POLDIP2,26684506,26684506,-,chr17
PLXND1,129325519,129325519,-,chr3
AK2,33502480,33502480,-,chr1
CD38,15779951,15779951,+,chr4
FKBP4,2904160,2904160,+,chr12
KDM1A,23345961,23345961,+,chr1
RBM6,49977585,49977585,+,chr3
CAMKK1,3796347,3796347,-,chr17
RECQL,21654529,21654529,-,chr12
VPS50,92861679,92861679,+,chr7
HSPB6,36247930,36247930,-,chr19
ARHGAP33,36266466,36266466,+,chr19
NDUFAB1,23607637,23607637,-,chr16
PDK4,95225828,95225828,-,chr7
SLC22A16,110797815,110797815,-,chr6
ZMYND10,50383163,50383163,-,chr3
ABCB5,20686953,20686953,+,chr7
ARX,25034079,25034079,-,chrX
SLC25A13,95951380,95951380,-,chr7
ST7,116593555,116593555,+,chr7
CDC27,45266637,45266637,-,chr17
SLC4A1,42345503,42345503,-,chr17
CALCR,93204036,93204036,-,chr7
HCCS,11129452,11129452,+,chrX
DVL2,7137836,7137836,-,chr17
PRSS22,2908171,2908171,-,chr16
UPF1,18942768,18942768,+,chr19
SKAP2,26904209,26904209,-,chr7
SLC25A5,118602408,118602408,+,chrX
CCDC109B,110481402,110481402,+,chr4
HOXA11,27224851,27224851,-,chr7
POLR2J,102119369,102119369,-,chr7
DHX33,5372289,5372289,-,chr17
MEOX1,41739290,41739290,-,chr17
THSD7A,11871824,11871824,-,chr7
LIG3,33307531,33307531,+,chr17
RPAP3,48099789,48099789,-,chr12
ACSM3,20775336,20775336,+,chr16
AC004381.6,20817849,20817849,+,chr16
CIAPIN1,57481297,57481297,-,chr16
FAM214B,35115847,35115847,-,chr9
COPZ2,46115159,46115159,-,chr17
PRKAR2B,106685151,106685151,+,chr7
MSL3,11776356,11776356,+,chrX
CREBBP,3930699,3930699,-,chr16
BZRAP1,56406156,56406156,-,chr17
MPO,56358296,56358296,-,chr17
PON1,94953844,94953844,-,chr7
GCFC2,75938041,75938041,-,chr2
WDR54,74648857,74648857,+,chr2
CROT,86974980,86974980,+,chr7
ABCB4,87104996,87104996,-,chr7
KMT2E,104654652,104654652,+,chr7
RHBDD2,75508352,75508352,+,chr7
SOX8,1031770,1031770,+,chr16
IBTK,82957461,82957461,-,chr6
ZNF195,3400369,3400369,-,chr11
MYCBP2,77901221,77901221,-,chr13
FBXL3,77601294,77601294,-,chr13
ITGAL,30484072,30484072,+,chr16
PDK2,48172716,48172716,+,chr17
ITGA3,48133475,48133475,+,chr17
ZFX,24167846,24167846,+,chrX
LAMP2,119603151,119603151,-,chrX
ITGA2B,42466873,42466873,-,chr17
ASB4,95115255,95115255,+,chr7
GDE1,19533420,19533420,-,chr16
C19orf60,18699608,18699608,+,chr19
CRLF1,18717609,18717609,-,chr19
OSBPL7,45899160,45899160,-,chr17
TMEM98,31255222,31255222,+,chr17
YBX2,7197955,7197955,-,chr17
KRT33A,39507080,39507080,-,chr17
MAP3K14,43394383,43394383,-,chr17
ABCC8,17498392,17498392,-,chr11
CACNG3,24266912,24266912,+,chr16
TMEM132A,60691946,60691946,+,chr11
AP2B1,33914341,33914341,+,chr17
TAC1,97361398,97361398,+,chr7
ZNF263,3333491,3333491,+,chr16
CX3CL1,57406403,57406403,+,chr16
SPATA20,48624535,48624535,+,chr17
CACNA1G,48638076,48638076,+,chr17
TNFRSF12A,3070369,3070369,+,chr16
DLX6,96635181,96635181,+,chr7
MAP3K9,71276230,71276230,-,chr14
RALA,39663171,39663171,+,chr7
BAIAP2L1,98030402,98030402,-,chr7
KDM7A,139876783,139876783,-,chr7
ETV1,14029291,14029291,-,chr7
AGK,141251210,141251210,+,chr7
ALDH3B1,67777797,67777797,+,chr11
TTC22,55266983,55266983,-,chr1
